
2024/10/02 (15:51:48) | ===> btop++ v.1.4.0
2024/10/02 (15:51:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/02 (15:51:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (15:51:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/02 (15:51:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/02 (15:51:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/10/02 (15:57:32) | INFO: Logger set to INFO
2024/10/02 (15:57:32) | INFO: Logger set to DEBUG
2024/10/02 (15:57:32) | INFO: Logger set to INFO

2024/10/02 (15:57:59) | ===> btop++ v.1.4.0
2024/10/02 (15:57:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/02 (15:57:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (15:57:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/02 (15:57:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/02 (15:57:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/04 (16:14:49) | ===> btop++ v.1.4.0
2024/10/04 (16:14:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/04 (16:14:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/04 (16:14:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/04 (16:14:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/04 (16:14:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/05 (16:30:54) | ===> btop++ v.1.4.0
2024/10/05 (16:30:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/05 (16:30:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/05 (16:30:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/05 (16:30:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/05 (16:30:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/06 (11:48:49) | ===> btop++ v.1.4.0
2024/10/06 (11:48:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/06 (11:48:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/06 (11:48:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/06 (11:48:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/06 (11:48:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/07 (20:52:34) | ===> btop++ v.1.4.0
2024/10/07 (20:52:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/07 (20:52:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/07 (20:52:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/07 (20:52:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/07 (20:52:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/10 (15:11:12) | ===> btop++ v.1.4.0
2024/10/10 (15:11:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/10 (15:11:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/10 (15:11:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/10 (15:11:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/10 (15:11:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/12 (17:22:52) | ===> btop++ v.1.4.0
2024/10/12 (17:22:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/12 (17:22:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/12 (17:22:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/12 (17:22:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/12 (17:22:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (20:40:59) | ===> btop++ v.1.4.0
2024/10/14 (20:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/14 (20:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (20:40:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/14 (20:40:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/14 (20:40:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/16 (22:25:33) | ===> btop++ v.1.4.0
2024/10/16 (22:25:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (22:25:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (22:25:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (22:25:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (22:25:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/16 (22:32:15) | ===> btop++ v.1.4.0
2024/10/16 (22:32:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/16 (22:32:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/16 (22:32:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/16 (22:32:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/16 (22:32:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/18 (18:52:08) | ===> btop++ v.1.4.0
2024/10/18 (18:52:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/18 (18:52:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/18 (18:52:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/18 (18:52:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/18 (18:52:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/18 (18:53:55) | ===> btop++ v.1.4.0
2024/10/18 (18:53:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/18 (18:53:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/18 (18:53:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/18 (18:53:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/18 (18:53:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/18 (23:14:51) | ===> btop++ v.1.4.0
2024/10/18 (23:14:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/18 (23:14:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/18 (23:14:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/18 (23:14:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/18 (23:14:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/18 (23:14:54) | ===> btop++ v.1.4.0
2024/10/18 (23:14:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/18 (23:14:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/18 (23:14:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/18 (23:14:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/18 (23:14:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (01:51:47) | ===> btop++ v.1.4.0
2024/10/19 (01:51:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (01:51:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (01:51:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (01:51:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (01:51:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (02:09:11) | ===> btop++ v.1.4.0
2024/10/19 (02:09:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (02:09:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (02:09:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (02:09:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (02:09:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (02:31:45) | ===> btop++ v.1.4.0
2024/10/19 (02:31:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (02:31:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (02:31:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (02:31:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (02:31:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (12:37:37) | ===> btop++ v.1.4.0
2024/10/19 (12:37:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (12:37:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (12:37:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (12:37:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (12:37:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (13:20:32) | ===> btop++ v.1.4.0
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (13:20:37) | ===> btop++ v.1.4.0
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get GPU power usage
